,Record ID,Registration Status,Subject,Course,Campus,Final Grade,Mid Term Grade,Department,Major,Academic Period,Class,Course Code,Major College,Subject College,Mid Term Grade Number,Final Grade Number,MT Intervention Needed
41,41,Registered,AED,22860,KC,A,A,ARCH,ID,202280,FR,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
42,42,Registered,AED,22860,KC,C+,C+,ARCH,ID,202280,FR,AED 22860,CAED,CAED,2.3,2.3,Passing MT Grade
43,43,Registered,AED,22860,KC,C,C,ARCH,ID,202280,FR,AED 22860,CAED,CAED,2.0,2.0,FR/SO Intervention Needed
44,44,Registered,AED,22860,KC,A,A-,ARCH,ID,202280,FR,AED 22860,CAED,CAED,3.7,4.0,Passing MT Grade
45,45,Registered,AED,22860,KC,B-,,ARCH,ID,202280,FR,AED 22860,CAED,CAED,,2.7,No MT Grade Entered
46,46,Registered,AED,22860,KC,A,,ARCH,ID,202280,FR,AED 22860,CAED,CAED,,4.0,No MT Grade Entered
47,47,Registered,AED,22860,KC,C,A,ARCH,ID,202280,FR,AED 22860,CAED,CAED,4.0,2.0,Passing MT Grade
48,48,Registered,AED,22860,KC,A,A,ARCH,ID,202280,FR,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
49,49,Registered,AED,22860,KC,B-,C,ARCH,ID,202280,SO,AED 22860,CAED,CAED,2.0,2.7,FR/SO Intervention Needed
50,50,Registered,AED,22860,KC,A,,ARCH,ID,202280,FR,AED 22860,CAED,CAED,,4.0,No MT Grade Entered
51,51,Registered,AED,22860,KC,A,,ARCH,ID,202280,SO,AED 22860,CAED,CAED,,4.0,No MT Grade Entered
52,52,Registered,AED,22860,KC,A-,B,ARCH,ID,202280,SO,AED 22860,CAED,CAED,3.0,3.7,Passing MT Grade
53,53,Registered,AED,22860,KC,A,B-,ARCH,ID,202280,FR,AED 22860,CAED,CAED,2.7,4.0,Passing MT Grade
54,54,Registered,AED,22860,KC,A,A,ARCH,ID,202280,FR,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
55,55,Registered,AED,22860,KC,B-,B-,ARCH,ID,202280,FR,AED 22860,CAED,CAED,2.7,2.7,Passing MT Grade
56,56,Registered,AED,22860,KC,C+,A,ARCH,ID,202280,FR,AED 22860,CAED,CAED,4.0,2.3,Passing MT Grade
57,57,Registered,AED,22860,KC,A,A,ARCH,ID,202280,FR,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
58,58,Registered,AED,22860,KC,C,,ARCH,ID,202280,FR,AED 22860,CAED,CAED,,2.0,No MT Grade Entered
59,59,Registered,AED,22860,KC,A,A,ARCH,ID,202280,FR,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
60,60,Registered,AED,22860,KC,A,A,ARCH,ID,202280,FR,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
61,61,Registered,AED,22860,KC,C,F,ARCH,ID,202280,FR,AED 22860,CAED,CAED,0.0,2.0,FR/SO Intervention Needed
62,62,Registered,AED,22860,KC,C-,C-,ARCH,ID,202280,FR,AED 22860,CAED,CAED,1.7,1.7,FR/SO Intervention Needed
63,63,Registered,AED,22860,KC,A,B+,ARCH,ID,202280,FR,AED 22860,CAED,CAED,3.3,4.0,Passing MT Grade
64,64,Registered,AED,22860,KC,A-,B+,ARCH,ID,202280,JR,AED 22860,CAED,CAED,3.3,3.7,Passing MT Grade
65,65,Registered,AED,22860,KC,C,B,ARCH,ID,202280,JR,AED 22860,CAED,CAED,3.0,2.0,Passing MT Grade
66,66,Registered,AED,22860,KC,B+,A-,ARCH,ID,202280,FR,AED 22860,CAED,CAED,3.7,3.3,Passing MT Grade
67,67,Registered,AED,22860,KC,A,A,ARCH,ID,202280,SO,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
68,68,Registered,AED,22860,KC,B+,B,ARCH,ID,202280,FR,AED 22860,CAED,CAED,3.0,3.3,Passing MT Grade
69,69,Registered,AED,22860,KC,B-,C,ARCH,ID,202280,FR,AED 22860,CAED,CAED,2.0,2.7,FR/SO Intervention Needed
70,70,Registered,AED,22860,KC,A-,A,ARCH,ID,202280,FR,AED 22860,CAED,CAED,4.0,3.7,Passing MT Grade
71,71,Registered,AED,22860,KC,A,A,ARCH,ID,202280,SO,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
72,72,Registered,AED,22860,KC,A,A,ARCH,ID,202280,FR,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
73,73,Registered,AED,22860,KC,B+,A,ARCH,ID,202280,FR,AED 22860,CAED,CAED,4.0,3.3,Passing MT Grade
74,74,Registered,AED,22860,KC,A,A-,ARCH,ID,202280,FR,AED 22860,CAED,CAED,3.7,4.0,Passing MT Grade
75,75,Registered,AED,22860,KC,F,,ARCH,ID,202280,SO,AED 22860,CAED,CAED,,0.0,No MT Grade Entered
76,76,Registered,AED,22860,KC,C+,A-,ARCH,ID,202280,FR,AED 22860,CAED,CAED,3.7,2.3,Passing MT Grade
77,77,Registered,AED,22860,KC,D+,,ARCH,ID,202280,FR,AED 22860,CAED,CAED,,1.3,No MT Grade Entered
78,78,Stopped Attending - Failed,AED,22860,KC,W,F,ARCH,ID,202280,FR,AED 22860,CAED,CAED,0.0,0.0,FR/SO Intervention Needed
79,79,Registered,AED,22860,KC,B,,ARCH,ID,202280,FR,AED 22860,CAED,CAED,,3.0,No MT Grade Entered
80,80,Registered,AED,22860,KC,A,A,ARCH,ID,202280,FR,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
81,81,Registered,AED,22860,KC,B,B+,ARCH,ID,202280,FR,AED 22860,CAED,CAED,3.3,3.0,Passing MT Grade
82,82,Registered,AED,22860,KC,B,A-,ARCH,ID,202280,FR,AED 22860,CAED,CAED,3.7,3.0,Passing MT Grade
83,83,Registered,AED,22860,KC,A-,B+,ARCH,ID,202280,FR,AED 22860,CAED,CAED,3.3,3.7,Passing MT Grade
84,84,Registered,AED,22860,KC,A-,A,ARCH,ID,202280,FR,AED 22860,CAED,CAED,4.0,3.7,Passing MT Grade
85,85,Registered,AED,22860,KC,A-,A,ARCH,ID,202280,FR,AED 22860,CAED,CAED,4.0,3.7,Passing MT Grade
86,86,Registered,AED,22860,KC,A,B+,ARCH,ID,202280,FR,AED 22860,CAED,CAED,3.3,4.0,Passing MT Grade
87,87,Registered,AED,22860,KC,B,C+,ARCH,ID,202280,FR,AED 22860,CAED,CAED,2.3,3.0,Passing MT Grade
88,88,Registered,AED,22860,KC,B,,ARCH,ID,202280,FR,AED 22860,CAED,CAED,,3.0,No MT Grade Entered
89,89,Registered,AED,22860,KC,,A,ARCH,ID,202280,JR,AED 22860,CAED,CAED,4.0,,Passing MT Grade
90,90,Registered,AED,22860,KC,B,,ARCH,ID,202280,FR,AED 22860,CAED,CAED,,3.0,No MT Grade Entered
91,91,Stopped Attending - Failed,AED,22860,KC,W,B+,ARCH,ID,202280,FR,AED 22860,CAED,CAED,3.3,0.0,Passing MT Grade
92,92,Registered,AED,22860,KC,A,A,ARCH,ID,202280,FR,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
93,93,Registered,AED,22860,KC,A,,ARCH,ID,202280,FR,AED 22860,CAED,CAED,,4.0,No MT Grade Entered
94,94,Registered,AED,22860,KC,B,A,ARCH,ID,202280,FR,AED 22860,CAED,CAED,4.0,3.0,Passing MT Grade
95,95,Registered,AED,22860,KC,F,B,ARCH,ID,202280,FR,AED 22860,CAED,CAED,3.0,0.0,Passing MT Grade
96,96,Registered,AED,22860,KC,B+,B,ARCH,ID,202280,FR,AED 22860,CAED,CAED,3.0,3.3,Passing MT Grade
97,97,Registered,AED,22860,KC,B,B,ARCH,ID,202280,FR,AED 22860,CAED,CAED,3.0,3.0,Passing MT Grade
98,98,Registered,AED,22860,KC,B-,C+,ARCH,ID,202280,FR,AED 22860,CAED,CAED,2.3,2.7,Passing MT Grade
99,99,Registered,AED,22860,KC,A,A,ARCH,ID,202280,FR,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
100,100,Registered,AED,22860,KC,A-,A,ARCH,ID,202280,FR,AED 22860,CAED,CAED,4.0,3.7,Passing MT Grade
101,101,Registered,AED,22860,KC,A,A,ARCH,ID,202280,FR,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
102,102,Registered,AED,22860,KC,S,S,ARCH,ID,202280,FR,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
103,103,Registered,AED,22860,KC,,A,ARCH,ID,202310,FR,AED 22860,CAED,CAED,4.0,,Passing MT Grade
105,105,Registered,AED,22860,KC,C+,D+,ARCH,ID,202310,SO,AED 22860,CAED,CAED,1.3,2.3,FR/SO Intervention Needed
106,106,Registered,AED,22860,KC,D,B,ARCH,ID,202310,FR,AED 22860,CAED,CAED,3.0,1.0,Passing MT Grade
110,110,Stopped Attending - Failed,AED,22860,KC,W,F,ARCH,ID,202310,JR,AED 22860,CAED,CAED,0.0,0.0,JR/SR Intervention Needed
111,111,Stopped Attending - Failed,AED,22860,KC,W,F,ARCH,ID,202310,FR,AED 22860,CAED,CAED,0.0,0.0,FR/SO Intervention Needed
112,112,Registered,AED,22860,KC,C-,F,ARCH,ID,202310,SO,AED 22860,CAED,CAED,0.0,1.7,FR/SO Intervention Needed
113,113,Registered,AED,22860,KC,B,A-,ARCH,ID,202310,FR,AED 22860,CAED,CAED,3.7,3.0,Passing MT Grade
114,114,Registered,AED,22860,KC,A,A,ARCH,ID,202310,SO,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
115,115,Registered,AED,22860,KC,B+,C+,ARCH,ID,202310,FR,AED 22860,CAED,CAED,2.3,3.3,Passing MT Grade
117,117,Registered,AED,22860,KC,B-,A-,ARCH,ID,202380,FR,AED 22860,CAED,CAED,3.7,2.7,Passing MT Grade
118,118,Registered,AED,22860,KC,A,A,ARCH,ID,202380,FR,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
119,119,Registered,AED,22860,KC,B-,B+,ARCH,ID,202380,FR,AED 22860,CAED,CAED,3.3,2.7,Passing MT Grade
120,120,Admin Dropped,AED,22860,KC,DR,DR,ARCH,ID,202380,SO,AED 22860,CAED,CAED,,,Dropped Course
121,121,Registered,AED,22860,KC,A,A,ARCH,ID,202380,FR,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
122,122,Registered,AED,22860,KC,A,A,ARCH,ID,202380,FR,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
123,123,Registered,AED,22860,KC,A,A,ARCH,ID,202380,FR,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
126,126,Registered,AED,22860,KC,A-,B,ARCH,ID,202380,FR,AED 22860,CAED,CAED,3.0,3.7,Passing MT Grade
127,127,Registered,AED,22860,KC,A,A,ARCH,ID,202380,FR,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
128,128,Registered,AED,22860,KC,B-,D+,ARCH,ID,202380,FR,AED 22860,CAED,CAED,1.3,2.7,FR/SO Intervention Needed
129,129,Registered,AED,22860,KC,A,A,ARCH,ID,202380,FR,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
130,130,Registered,AED,22860,KC,S,S,ARCH,ID,202380,FR,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
131,131,Registered,AED,22860,KC,F,,ARCH,ID,202380,FR,AED 22860,CAED,CAED,,0.0,No MT Grade Entered
132,132,Registered,AED,22860,KC,A,,ARCH,ID,202380,FR,AED 22860,CAED,CAED,,4.0,No MT Grade Entered
133,133,Registered,AED,22860,KC,A,A,ARCH,ID,202380,SO,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
134,134,Registered,AED,22860,KC,F,A-,ARCH,ID,202380,FR,AED 22860,CAED,CAED,3.7,0.0,Passing MT Grade
135,135,Registered,AED,22860,KC,A,A,ARCH,ID,202380,FR,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
137,137,Registered,AED,22860,KC,,A-,ARCH,ID,202380,FR,AED 22860,CAED,CAED,3.7,,Passing MT Grade
138,138,Registered,AED,22860,KC,A,A,ARCH,ID,202380,FR,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
139,139,Registered,AED,22860,KC,A,,ARCH,ID,202380,FR,AED 22860,CAED,CAED,,4.0,No MT Grade Entered
140,140,Stopped Attending - Failed,AED,22860,KC,W,W,ARCH,ID,202380,FR,AED 22860,CAED,CAED,0.0,0.0,Withdrew From Course
141,141,Registered,AED,22860,KC,B,A,ARCH,ID,202380,FR,AED 22860,CAED,CAED,4.0,3.0,Passing MT Grade
142,142,Registered,AED,22860,KC,C,F,ARCH,ID,202380,FR,AED 22860,CAED,CAED,0.0,2.0,FR/SO Intervention Needed
143,143,Registered,AED,22860,KC,B+,A-,ARCH,ID,202380,FR,AED 22860,CAED,CAED,3.7,3.3,Passing MT Grade
144,144,Registered,AED,22860,KC,A,A,ARCH,ID,202380,FR,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
145,145,Registered,AED,22860,KC,C-,B+,ARCH,ID,202380,FR,AED 22860,CAED,CAED,3.3,1.7,Passing MT Grade
146,146,Registered,AED,22860,KC,F,F,ARCH,ID,202380,FR,AED 22860,CAED,CAED,0.0,0.0,FR/SO Intervention Needed
147,147,Registered,AED,22860,KC,A,,ARCH,ID,202380,FR,AED 22860,CAED,CAED,,4.0,No MT Grade Entered
148,148,Registered,AED,22860,KC,A,A,ARCH,ID,202380,FR,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
149,149,Registered,AED,22860,KC,C,B-,ARCH,ID,202380,SO,AED 22860,CAED,CAED,2.7,2.0,Passing MT Grade
150,150,Registered,AED,22860,KC,A,F,ARCH,ID,202380,FR,AED 22860,CAED,CAED,0.0,4.0,FR/SO Intervention Needed
152,152,Registered,AED,22860,KC,D+,F,ARCH,ID,202380,FR,AED 22860,CAED,CAED,0.0,1.3,FR/SO Intervention Needed
153,153,Registered,AED,22860,KC,A,F,ARCH,ID,202380,FR,AED 22860,CAED,CAED,0.0,4.0,FR/SO Intervention Needed
154,154,Registered,AED,22860,KC,A-,,ARCH,ID,202380,FR,AED 22860,CAED,CAED,,3.7,No MT Grade Entered
155,155,Registered,AED,22860,KC,B,B,ARCH,ID,202380,FR,AED 22860,CAED,CAED,3.0,3.0,Passing MT Grade
157,157,Registered,AED,22860,KC,A,A,ARCH,ID,202380,FR,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
158,158,Registered,AED,22860,KC,B,A-,ARCH,ID,202380,FR,AED 22860,CAED,CAED,3.7,3.0,Passing MT Grade
159,159,Registered,AED,22860,KC,B+,B+,ARCH,ID,202380,FR,AED 22860,CAED,CAED,3.3,3.3,Passing MT Grade
160,160,Registered,AED,22860,KC,A-,A,ARCH,ID,202380,FR,AED 22860,CAED,CAED,4.0,3.7,Passing MT Grade
161,161,Stopped Attending - Failed,AED,22860,KC,W,F,ARCH,ID,202380,FR,AED 22860,CAED,CAED,0.0,0.0,FR/SO Intervention Needed
162,162,Registered,AED,22860,KC,C-,B,ARCH,ID,202380,FR,AED 22860,CAED,CAED,3.0,1.7,Passing MT Grade
163,163,Registered,AED,22860,KC,C+,C-,ARCH,ID,202380,FR,AED 22860,CAED,CAED,1.7,2.3,FR/SO Intervention Needed
164,164,Registered,AED,22860,KC,B,B,ARCH,ID,202380,FR,AED 22860,CAED,CAED,3.0,3.0,Passing MT Grade
165,165,Registered,AED,22860,KC,A,A,ARCH,ID,202380,FR,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
166,166,Registered,AED,22860,KC,C+,C,ARCH,ID,202380,FR,AED 22860,CAED,CAED,2.0,2.3,FR/SO Intervention Needed
167,167,Registered,AED,22860,KC,A-,B+,ARCH,ID,202380,JR,AED 22860,CAED,CAED,3.3,3.7,Passing MT Grade
168,168,Registered,AED,22860,KC,A,A,ARCH,ID,202380,FR,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
169,169,Registered,AED,22860,KC,A,B-,ARCH,ID,202380,FR,AED 22860,CAED,CAED,2.7,4.0,Passing MT Grade
170,170,Registered,AED,22860,KC,A,A,ARCH,ID,202380,FR,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
171,171,Registered,AED,22860,KC,B+,B-,ARCH,ID,202380,FR,AED 22860,CAED,CAED,2.7,3.3,Passing MT Grade
172,172,Registered,AED,22860,KC,A,A,ARCH,ID,202380,FR,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
173,173,Admin Dropped,AED,22860,KC,DR,DR,ARCH,ID,202380,FR,AED 22860,CAED,CAED,,,Dropped Course
175,175,Registered,AED,22860,KC,B+,B,ARCH,ID,202380,FR,AED 22860,CAED,CAED,3.0,3.3,Passing MT Grade
176,176,Stopped Attending - Failed,AED,22860,KC,W,W,ARCH,ID,202380,FR,AED 22860,CAED,CAED,0.0,0.0,Withdrew From Course
177,177,Registered,AED,22860,KC,C-,,ARCH,ID,202380,FR,AED 22860,CAED,CAED,,1.7,No MT Grade Entered
178,178,Registered,AED,22860,KC,F,F,ARCH,ID,202380,FR,AED 22860,CAED,CAED,0.0,0.0,FR/SO Intervention Needed
179,179,Registered,AED,22860,KC,A,A,ARCH,ID,202380,SO,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
180,180,Registered,AED,22860,KC,A,A,ARCH,ID,202380,FR,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
181,181,Registered,AED,22860,KC,A-,,ARCH,ID,202380,FR,AED 22860,CAED,CAED,,3.7,No MT Grade Entered
182,182,Registered,AED,22860,KC,F,C+,ARCH,ID,202380,FR,AED 22860,CAED,CAED,2.3,0.0,Passing MT Grade
183,183,Registered,AED,22860,KC,A-,B+,ARCH,ID,202380,FR,AED 22860,CAED,CAED,3.3,3.7,Passing MT Grade
184,184,Registered,AED,22860,KC,A,A,ARCH,ID,202380,SO,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
185,185,Registered,AED,22860,KC,A,,ARCH,ID,202380,FR,AED 22860,CAED,CAED,,4.0,No MT Grade Entered
186,186,Registered,AED,22860,KC,A,A,ARCH,ID,202380,FR,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
187,187,Registered,AED,22860,KC,B+,B,ARCH,ID,202380,FR,AED 22860,CAED,CAED,3.0,3.3,Passing MT Grade
188,188,Registered,AED,22860,KC,A-,B,ARCH,ID,202380,FR,AED 22860,CAED,CAED,3.0,3.7,Passing MT Grade
189,189,Registered,AED,22860,KC,A,A,ARCH,ID,202380,FR,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
190,190,Registered,AED,22860,KC,B-,B,ARCH,ID,202380,FR,AED 22860,CAED,CAED,3.0,2.7,Passing MT Grade
192,192,Registered,AED,22860,KC,B,B,ARCH,ID,202380,FR,AED 22860,CAED,CAED,3.0,3.0,Passing MT Grade
193,193,Registered,AED,22860,KC,A-,C-,ARCH,ID,202380,FR,AED 22860,CAED,CAED,1.7,3.7,FR/SO Intervention Needed
194,194,Std Dropped,AED,22860,KC,DR,DR,ARCH,ID,202380,FR,AED 22860,CAED,CAED,,,Dropped Course
195,195,Registered,AED,22860,KC,C-,B-,ARCH,ID,202380,FR,AED 22860,CAED,CAED,2.7,1.7,Passing MT Grade
196,196,Registered,AED,22860,KC,A-,A-,ARCH,ID,202380,FR,AED 22860,CAED,CAED,3.7,3.7,Passing MT Grade
197,197,Registered,AED,22860,KC,A,A,ARCH,ID,202380,FR,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
198,198,Registered,AED,22860,KC,B,,ARCH,ID,202380,FR,AED 22860,CAED,CAED,,3.0,No MT Grade Entered
200,200,Registered,AED,22860,KC,A,A,ARCH,ID,202410,SO,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
203,203,Registered,AED,22860,KC,A-,A-,ARCH,ID,202410,SO,AED 22860,CAED,CAED,3.7,3.7,Passing MT Grade
204,204,Registered,AED,22860,KC,A,,ARCH,ID,202410,FR,AED 22860,CAED,CAED,,4.0,No MT Grade Entered
205,205,Registered,AED,22860,KC,A-,A-,ARCH,ID,202410,SO,AED 22860,CAED,CAED,3.7,3.7,Passing MT Grade
206,206,Registered,AED,22860,KC,A,A,ARCH,ID,202410,SO,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
208,208,Registered,AED,22860,KC,A,A,ARCH,ID,202410,SO,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
209,209,Registered,AED,22860,KC,A,A,ARCH,ID,202410,FR,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
211,211,Registered,AED,22860,KC,A,A,ARCH,ID,202480,FR,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
212,212,Registered,AED,22860,KC,A,A,ARCH,ID,202480,FR,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
213,213,Registered,AED,22860,KC,A-,A,ARCH,ID,202480,SO,AED 22860,CAED,CAED,4.0,3.7,Passing MT Grade
214,214,Registered,AED,22860,KC,B-,C+,ARCH,ID,202480,FR,AED 22860,CAED,CAED,2.3,2.7,Passing MT Grade
215,215,Registered,AED,22860,KC,A,A,ARCH,ID,202480,FR,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
216,216,Registered,AED,22860,KC,A,A,ARCH,ID,202480,JR,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
217,217,Registered,AED,22860,KC,A,A,ARCH,ID,202480,FR,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
218,218,Registered,AED,22860,KC,A,A,ARCH,ID,202480,FR,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
219,219,Registered,AED,22860,KC,A,A,ARCH,ID,202480,FR,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
220,220,Registered,AED,22860,KC,C-,C-,ARCH,ID,202480,FR,AED 22860,CAED,CAED,1.7,1.7,FR/SO Intervention Needed
221,221,Registered,AED,22860,KC,A,A,ARCH,ID,202480,FR,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
222,222,Registered,AED,22860,KC,B+,A,ARCH,ID,202480,JR,AED 22860,CAED,CAED,4.0,3.3,Passing MT Grade
223,223,Registered,AED,22860,KC,A-,A-,ARCH,ID,202480,FR,AED 22860,CAED,CAED,3.7,3.7,Passing MT Grade
